time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.0010000000002,1.70045424603,-0.496418220436,-0.0169360524025,0.494800027727,-0.179767570196,0.0269964760912,-0.0128612851902,100.0,-1.70167735554,-0.482610342679,-0.0211587646534,0.521554916333,-0.0822581201388,0.0272234456008,0.0258426424147,100.0
0.0210000000006,1.70183248144,-0.498851764213,-0.0247711676818,0.502775722163,-0.219898542422,0.0258079158299,0.0374272985519,100.0,-1.70178979927,-0.485473290264,-0.0119692863203,0.535721819477,-0.0984113305572,-0.000939453333744,0.0140764663862,100.0
0.04,1.70164964331,-0.506345416535,-0.0556377438626,0.53197102083,-0.301473290494,0.0459266125072,0.135696458084,100.0,-1.69974637912,-0.485012330495,0.0206967444722,0.566112618036,-0.178241727523,-0.08713817446,-0.0520229205819,100.0
0.0600000000004,1.69931038809,-0.510665319827,-0.0881570307591,0.561158625369,-0.394193605316,0.112486744464,0.23380036097,100.0,-1.69391664093,-0.478322132663,0.0516672684493,0.596097192349,-0.305855135446,-0.174225413262,-0.0467690836447,100.0
0.0799999999999,1.69468617454,-0.509052555915,-0.1222418454,0.592138451673,-0.48908362887,0.191455861296,0.328027394144,100.0,-1.68506852226,-0.465750307131,0.0837189063537,0.62702878931,-0.398531590625,-0.260790611594,-0.0450547066319,100.0
0.1,1.68606474841,-0.499323873063,-0.154344361104,0.622793028146,-0.585448128221,0.270915003634,0.423624676965,100.0,-1.6724265333,-0.446322112521,0.115537906016,0.656515580251,-0.482711074072,-0.346504634674,-0.0420581773751,100.0
0.12,1.6734964395,-0.480872062253,-0.186385578289,0.652567538301,-0.676499044156,0.350287189643,0.517753637119,100.0,-1.65607779344,-0.42039768946,0.147412034079,0.685713279176,-0.568437806376,-0.43234673403,-0.0420047067235,100.0
0.14,1.65729594466,-0.453937217789,-0.220035702552,0.682940778084,-0.765112942311,0.429259711441,0.608740488609,100.0,-1.6361145873,-0.390414864733,0.18001302923,0.717060126226,-0.653127784824,-0.515317518316,-0.0418901304024,100.0
0.161,1.63617640863,-0.422453353812,-0.251540067852,0.715900772742,-0.854001466056,0.508527162076,0.70027134627,100.0,-1.61156934902,-0.359036840421,0.211243965899,0.748045427257,-0.736617963358,-0.595938040741,-0.0420847687579,100.0
0.18,1.61038046714,-0.387801033987,-0.28364806406,0.748436887751,-0.94159780649,0.588789046603,0.789335465823,100.0,-1.58315055028,-0.327445067816,0.243070942793,0.780036458856,-0.820272318365,-0.676507462727,-0.04235892823,100.0
0.2,1.58041456118,-0.35060730385,-0.315968100876,0.781247633777,-1.02388792195,0.670145643429,0.874942393831,100.0,-1.55297173481,-0.29990932099,0.275958811377,0.816743381075,-0.90303258944,-0.746023483753,-0.0422112113119,100.0
0.221,1.54898899174,-0.310350734451,-0.34914305826,0.814082804737,-1.10791883111,0.751300595147,0.962609114229,100.0,-1.52218061632,-0.287851384799,0.316070932531,0.864488774154,-0.986501020881,-0.721273958766,-0.0404791525683,100.0
0.24,1.516930567,-0.267584431808,-0.383657958834,0.848105663742,-1.1911049196,0.832364578674,1.04866289844,100.0,-1.4908739476,-0.29041826042,0.34919076454,0.932271427959,-1.06806805023,-0.689167840614,-0.0415540711674,100.0
0.261,1.4826814207,-0.22223626785,-0.416339779601,0.880703298086,-1.27329245396,0.913929805507,1.13214112939,100.0,-1.46054986776,-0.3016676381,0.380108868517,1.01692955006,-1.15019664129,-0.709014749708,-0.0410046177209,100.0
0.281,1.44653763992,-0.175147780382,-0.448603851855,0.914042778839,-1.35657049905,0.994198532253,1.21788247321,100.0,-1.42988173649,-0.308258456044,0.418354733646,1.09238046812,-1.23437061752,-0.735080388816,-0.0421666807169,100.0
0.3,1.4098880191,-0.140011248237,-0.483864411964,0.968898150175,-1.43980894555,1.00725032722,1.30286057443,100.0,-1.39771617243,-0.307583989273,0.466433524601,1.15039449707,-1.31681507815,-0.709669908685,-0.0381655991435,100.0
0.320000000001,1.37239892954,-0.121316827696,-0.518978758196,1.04369361319,-1.52526483083,0.953892519995,1.38606762459,100.0,-1.36034623594,-0.306540160839,0.500142915135,1.20307178472,-1.39913273161,-0.725248303622,-0.0427516032742,100.0
0.342000000001,1.33386634881,-0.110397172861,-0.549074828142,1.12043061467,-1.60726913152,0.951869206411,1.46953182365,100.0,-1.32058680576,-0.307185433582,0.534273841618,1.25136360391,-1.48364402471,-0.723357378572,-0.0396825774157,100.0
0.361,1.29525914157,-0.106412412513,-0.579856160311,1.20293512496,-1.6901734528,0.989221779251,1.55411095879,100.0,-1.27807805193,-0.307202827681,0.567629094549,1.29329852384,-1.56571395965,-0.715886910012,-0.0412477211934,100.0
0.38,1.25495205295,-0.115377633168,-0.612824716858,1.29338248525,-1.77404784967,0.9801286687,1.63748182358,100.0,-1.23342318803,-0.306911106173,0.5992193371,1.32870706853,-1.64957230496,-0.725844639232,-0.0405209341505,100.0
0.400000000001,1.21127252383,-0.136088191896,-0.643265699164,1.38484799689,-1.85835536316,0.962953381608,1.71990383628,100.0,-1.18697463136,-0.307580125908,0.632920667398,1.36009251248,-1.73241375846,-0.720355481205,-0.0408657154926,100.0
0.42,1.1644643457,-0.159457478887,-0.675261560983,1.4661065459,-1.9355172625,0.985347453003,1.73481365643,100.0,-1.13922367069,-0.308612193576,0.665660116356,1.39066537256,-1.8147748994,-0.720008748759,-0.0418176578651,100.0
0.440000000001,1.11951185104,-0.162519216081,-0.730831732625,1.52194415258,-2.02253845881,0.978338602831,1.72145692774,100.0,-1.09346912862,-0.307892724825,0.702795378188,1.42232261916,-1.89753174009,-0.722197934135,-0.0409638984314,100.0
0.46,1.07195277085,-0.159416213022,-0.789538307019,1.56288019011,-2.10582823606,0.976657603712,1.7227300877,100.0,-1.05134081411,-0.306817754978,0.746033802412,1.45387271081,-1.98129208506,-0.719582340228,-0.0406975750269,100.0
0.481000000001,1.01969268886,-0.159182821819,-0.843248279085,1.5955449743,-2.19047344962,0.985312838363,1.72593978187,100.0,-1.01380271952,-0.306845032426,0.793316224726,1.48602403802,-2.0649378906,-0.722011476426,-0.0411368940601,100.0
0.501,0.967760278416,-0.160788509496,-0.899745079189,1.62638848333,-2.27312941122,0.976337656907,1.72382650187,100.0,-0.981464942881,-0.30707574543,0.846632780215,1.51982310766,-2.14836832347,-0.720929878439,-0.0408463909383,100.0
0.521000000001,0.915854917494,-0.160091376738,-0.956072758262,1.65685905242,-2.34023096153,0.982448207767,1.71851013548,100.0,-0.953432897659,-0.307193402979,0.904077748076,1.5541123076,-2.23234732678,-0.721805180597,-0.0409965236854,100.0
0.54,0.867223717359,-0.159623650348,-1.00946691815,1.68697313524,-2.3356185376,0.979140870607,1.72131916286,100.0,-0.929326537378,-0.307277559473,0.96526616367,1.589378938,-2.31620511709,-0.722279443926,-0.0405038335662,100.0
0.56,0.819978143417,-0.1600105994,-1.05866255779,1.71809082427,-2.27900424646,0.97464006214,1.7279614986,100.0,-0.907744624384,-0.308620165638,1.02464713202,1.62905760584,-2.35102484605,-0.721907293373,-0.0558902006269,100.0
0.581,0.772436201004,-0.160736644759,-1.11276887508,1.75434890277,-2.28139346817,0.976889263237,1.72831828397,100.0,-0.889022178958,-0.308481702161,1.08314597792,1.67160346061,-2.31222959572,-0.721519265051,-0.0396299122952,100.0
0.601000000001,0.730502676393,-0.159108583578,-1.17516212415,1.79375053392,-2.31852681398,0.97435838699,1.71514037718,100.0,-0.874111253719,-0.306429207091,1.14718057036,1.7111505877,-2.31424659348,-0.722635683596,-0.0352280979432,100.0
0.621,0.694814106301,-0.159860174252,-1.22962093512,1.82851376537,-2.28966982052,0.978392976027,1.72400618973,100.0,-0.861158139863,-0.308099431817,1.21141570877,1.75025650447,-2.3394391636,-0.723216974285,-0.0520537100164,100.0
0.641000000001,0.662553956227,-0.164070800002,-1.26668783071,1.8665934155,-2.27019171059,0.988935038338,1.7290409798,100.0,-0.849970172291,-0.308625080061,1.27637043434,1.79033720349,-2.31657004315,-0.720393623662,-0.0345037547776,100.0
0.66,0.636024492203,-0.163565419042,-1.2955971324,1.91069505933,-2.29997731616,0.978692780903,1.7256884089,100.0,-0.84044631512,-0.307649365232,1.34225475451,1.82641804199,-2.31948810221,-0.726191741034,-0.0400099155263,100.0
0.68,0.614208919729,-0.162375300949,-1.29939483427,1.95532756217,-2.29685547078,0.987016104273,1.71553266038,100.0,-0.83061182312,-0.311017954786,1.39156147276,1.86011015158,-2.33183492941,-0.736133855318,-0.047820603097,100.0
0.7,0.599045647276,-0.162901181131,-1.28285111289,2.00266966657,-2.28147063403,0.982763240479,1.73056556305,100.0,-0.821672834316,-0.311115737359,1.42372877447,1.89542403726,-2.31837845597,-0.727906219853,-0.0349931846993,100.0
0.72,0.589920081372,-0.162079107158,-1.25326871421,2.05781699719,-2.30193367477,0.977624756507,1.72554080127,100.0,-0.809833884732,-0.310174547831,1.42957820564,1.90126545045,-2.32613382118,-0.757341096171,-0.0440799425993,100.0
0.74,0.588942300148,-0.159221413639,-1.21818354162,2.11445431577,-2.30181073753,0.974408385553,1.71820362719,100.0,-0.797570658258,-0.310657847576,1.41481326345,1.8829742989,-2.32865148653,-0.777583220315,-0.0460278376092,100.0